Date,Aportes Caudal m3/s_ANTIOQUIA,Aportes Energía kWh_ANTIOQUIA,Aportes %_ANTIOQUIA,Aportes Caudal m3/s_CENTRO,Aportes Energía kWh_CENTRO,Aportes %_CENTRO,Aportes Caudal m3/s_ORIENTE,Aportes Energía kWh_ORIENTE,Aportes %_ORIENTE,Aportes Caudal m3/s_RIOS ESTIMADOS,Aportes Energía kWh_RIOS ESTIMADOS,Aportes %_RIOS ESTIMADOS,Aportes Caudal m3/s_VALLE,Aportes Energía kWh_VALLE,Aportes %_VALLE,Aportes Caudal m3/s_CARIBE,Aportes Energía kWh_CARIBE,Aportes %_CARIBE,Caudal,Energia
2000-01-01,161.95000000000002,35761700.0,103.33815847945635,269.15000000000003,6374400.0,167.0841099583846,263.18,6251200.0,79.55038731365097,24.82,5426200.0,66.68362198242791,0.0,2863800.0,99.4375,,,,719.1,56677300.0
2000-01-02,162.85,36098500.0,103.14317604979445,312.32,7495900.0,214.30587304378406,273.63,4039200.0,65.623777296004,19.54,4122400.0,53.84537303107706,0.0,2889200.0,100.31944444444446,,,,768.3399999999999,54645200.0
2000-01-03,149.78,33240200.0,95.33911590892916,332.53999999999996,7918500.0,215.25558290838757,236.89,3580600.0,54.29229730314939,38.29,9751600.0,173.17567343438205,0.0,2997400.0,104.07638888888889,,,,757.4999999999999,57488300.0
2000-01-04,153.83,34397800.0,99.59666098138861,285.62,6689400.0,161.84719535783367,275.92,8941400.0,113.5581667424513,24.560000000000002,5338000.0,66.62992230736484,0.0,3051600.0,105.95833333333333,,,,739.9300000000001,58418200.0
2000-01-05,162.47,35616100.0,103.62524772689625,254.04000000000002,6027100.0,159.88327178946133,265.98,7182200.0,93.02551574155272,47.36,11044300.0,164.1506317750311,0.0,3169800.0,110.0625,,,,729.85,63039500.0
2000-01-06,164.70999999999998,36778800.0,103.35508528413393,310.6,7359200.0,193.46591641756052,236.17000000000002,6064800.0,79.16389105416437,29.64,6472800.0,61.71797320893853,0.0,3067000.0,106.49305555555554,,,,741.12,59742600.0
2000-01-07,170.92999999999998,37219800.0,111.24507364592002,375.71000000000004,8944800.0,242.8480159427935,296.78999999999996,4215700.0,78.60515119036019,44.5,10237400.0,138.32300082216338,0.0,3491700.0,121.23958333333333,,,,887.93,64109400.0
2000-01-08,177.08,40272100.0,107.3187016827464,386.21999999999997,9073800.0,224.67692397866477,492.1,9752300.0,138.22590454383058,34.150000000000006,7760100.0,89.44071314154598,0.0,3915800.0,135.96527777777777,,,,1089.5500000000002,70774100.0
2000-01-09,168.09,38230000.0,103.4175779543301,423.81,9835800.0,221.5685481507532,539.6899999999999,10667300.0,158.64158668680375,70.59,17539000.0,220.46107050401702,0.0,4066300.0,141.19097222222223,,,,1202.1799999999998,80338400.0
2000-01-10,150.57000000000002,33483500.0,95.85388402047339,364.65999999999997,8531900.0,204.8309301916652,433.66,7025100.0,93.90079519741899,76.48,17095100.0,222.05023739917374,0.0,3593000.0,124.75694444444446,,,,1025.3700000000001,69728600.0
2000-01-11,159.5,35821000.0,100.12125327602325,336.53,7895800.0,193.57804349100286,546.8,22344200.0,252.42729343271947,56.03,13353300.0,174.5823564380884,0.0,4245800.0,147.42361111111111,,,,1098.86,83660100.0
2000-01-12,143.65,32339300.0,88.20817754673243,363.63,8454700.0,193.32128831838696,500.95,6714200.0,157.55902777777777,40.22,8665900.0,100.45520687771132,0.0,3063400.0,106.36805555555556,,,,1048.45,59237500.0
2000-01-13,134.2,29212400.0,87.85907429053339,299.21999999999997,6960100.0,159.68592110661743,513.96,14884300.0,188.0353305293016,37.32,8130200.0,85.36017760893564,0.0,3196800.0,111.00000000000001,,,,984.7,62383800.0
2000-01-14,142.56,31641100.0,87.36349070954412,277.38,6519700.0,161.9638649551609,457.87,6225000.0,125.7326388888889,27.29,5890500.0,67.39717646408015,0.0,2745000.0,95.3125,,,,905.0999999999999,53021300.0
2000-01-15,132.32,28829500.0,82.55955260552352,331.74,7801800.0,194.61702127659572,447.64,12610800.0,150.8279242045319,26.22,5752300.0,64.94995626619975,0.0,3036100.0,105.42013888888889,,,,937.9200000000001,58030500.0
2000-01-16,139.31,31032000.0,85.09947233991112,319.23,7448400.0,175.07074614618134,400.96000000000004,7345100.0,90.60902568016716,26.41,5846500.0,64.24088595219025,0.0,2852000.0,99.02777777777779,,,,885.91,54524000.0
2000-01-17,123.25,26288800.0,81.95431307542488,292.34000000000003,6915100.0,179.71786530684017,354.4,8498000.0,102.30820666471793,30.54,6841700.0,77.1661328717834,0.0,2768600.0,96.13194444444444,,,,800.53,51312200.0
2000-01-18,132.9,29120300.0,88.48387288727982,439.28,10115300.0,213.26812613563095,596.83,13890900.0,151.94158357422023,29.83,6472800.0,65.14789009467506,0.0,3441200.0,119.48611111111111,,,,1198.84,63040500.0
2000-01-19,132.48,27686700.0,92.68018484047174,268.02,6250000.0,146.26540062130005,471.07,11418600.0,125.3969985221995,26.060000000000002,5476500.0,48.60438227911224,0.0,2884900.0,100.17013888888889,,,,897.6299999999999,53716700.0
2000-01-20,140.84,31542300.0,95.54856927685233,253.94,5886700.0,131.37064064240082,306.42,4591200.0,53.85289456732382,58.870000000000005,13165700.0,161.01580499856092,0.0,3027200.0,105.11111111111111,,,,760.07,58213100.0
2000-01-21,207.46,49148500.0,125.36504315682481,240.35,5640000.0,138.418850008792,439.57,11237100.0,133.74882330810786,133.35000000000002,33804000.0,512.9523507017851,0.0,5184700.0,180.02430555555554,,,,1020.73,105014300.0
2000-01-22,205.92,46914400.0,123.36734592836446,239.64000000000001,5483800.0,109.24406541234394,477.23,6927800.0,81.58223716262302,68.45,16654800.0,232.0584791260295,0.0,3986800.0,138.43055555555554,,,,991.24,79967600.0
2000-01-23,135.63,29473300.0,87.12836953668612,222.12,5218400.0,129.20368090967705,328.95,7668500.0,85.14774824883345,43.19,9557000.0,116.8753378746736,0.0,2794000.0,97.01388888888889,,,,729.8900000000001,54711200.0
2000-01-24,136.14000000000001,29955200.0,86.3149541569457,203.18,4791300.0,121.8575405896489,256.31,3547900.0,57.291982323232325,29.98,6825000.0,87.10261428712302,0.0,2453900.0,85.20486111111111,,,,625.6100000000001,47573300.0
2000-01-25,125.65,26545700.0,83.88289118641376,204.88000000000002,4864100.0,129.63000410292477,261.87,6400700.0,70.70389316530797,23.880000000000003,5702600.0,74.7994764671267,0.0,2459900.0,85.41319444444444,,,,616.2800000000001,45973000.0
2000-01-26,152.86,33627200.0,102.61706575273512,195.48999999999998,4558800.0,106.70851649961901,371.29,5039900.0,103.62910353535352,28.87,6576900.0,89.93232104217124,0.0,2825000.0,98.09027777777779,,,,748.5100000000001,52627800.0
2000-01-27,133.78,28411900.0,86.69522458048749,200.93,4788900.0,130.96497860617782,315.77,11125400.0,148.46251772819298,24.79,5916800.0,76.28269061483068,0.0,2735000.0,94.96527777777779,,,,675.27,52978000.0
2000-01-28,123.50999999999999,26715900.0,79.76094090497479,196.75,4630900.0,116.20312408416856,473.96000000000004,6521600.0,114.02556818181819,24.22,5061000.0,52.4168373327112,0.0,2371800.0,82.35416666666666,,,,818.44,45301200.0
2000-01-29,123.961,26615700.0,81.16618151434847,271.76,6270500.0,134.55492057909854,469.29999999999995,16256600.0,196.65284070609633,26.03,6027400.0,76.33534765364755,0.0,2961100.0,102.81597222222223,,,,891.0509999999999,58131300.0
2000-01-30,139.97,30993800.0,87.67836313649929,260.21999999999997,6077300.0,143.88661274251217,556.83,15712200.0,199.32636655948554,27.880000000000003,6025000.0,61.3661177493488,0.0,3105100.0,107.81597222222221,,,,984.9,61913400.0
2000-01-31,177.63000000000002,40957900.0,107.62675023062896,226.19,5432400.0,155.97034171502256,704.47,9610400.0,186.68497474747477,22.75,5043500.0,62.55049820855771,0.0,3323200.0,115.3888888888889,,,,1131.04,64367400.0
2000-02-01,261.52,53970600.0,184.16360034026496,226.84,5312800.0,146.79463261717257,586.76,8648300.0,106.20977698283947,32.769999999999996,7284100.0,95.48250051447519,0.0,4346400.0,151.4425087108014,,,,1107.8899999999999,79562200.0
2000-02-02,238.67999999999998,54336500.0,164.3500046140258,217.94,5069200.0,132.7525804725132,572.63,9874700.0,120.79909071822642,80.4,18667500.0,252.1492480411114,0.0,4906200.0,170.94773519163763,,,,1109.65,92854100.0
2000-02-03,303.23999999999995,69709900.0,186.41684782044427,183.69,4298900.0,118.0963758697148,384.73999999999995,7378800.0,80.92591445945696,77.78,18267000.0,246.0533576301525,0.0,5504100.0,191.78048780487805,,,,949.4499999999998,105158700.0
2000-02-04,188.93699999999998,43830200.0,122.5650079505909,197.2,4601000.0,123.46914901750898,401.61,12308800.0,142.61993031335768,47.01,10617000.0,145.57271830250366,0.0,4073800.0,141.94425087108013,,,,834.757,75430800.0
2000-02-05,158.55,35060100.0,106.65391240754356,188.16,4328200.0,103.16667940974082,344.03000000000003,4701700.0,84.4972294654498,36.59,8107200.0,107.43141919439007,0.0,3052600.0,106.36236933797909,,,,727.33,55249800.0
2000-02-06,158.03,36206200.0,107.14318644937806,221.31,5106300.0,125.03383286183958,531.5,9362200.0,105.85399584458325,31.660000000000004,6839300.0,84.75211114411519,0.0,3324200.0,115.82578397212544,,,,942.5,60838200.0
2000-02-07,197.166,45102600.0,121.65686235166274,175.14000000000001,4045300.0,99.95469837143511,360.56,6272200.0,80.07933644610446,30.21,6480000.0,77.3930868608859,0.0,3591200.0,125.12891986062718,,,,763.076,65491300.0
2000-02-08,153.95000000000002,33067800.0,104.58230996498685,143.57000000000002,3320200.0,82.9142900833397,280.21999999999997,3771400.0,79.89106444403055,26.2,5519100.0,65.7173945519989,0.0,2647900.0,92.26132404181185,,,,603.94,48326400.0
2000-02-09,130.03,29135100.0,89.82819819039071,196.04,4510300.0,107.7000917501338,260.02,3533900.0,47.97082594595209,22.74,4772200.0,60.16485275331595,0.0,2523700.0,87.93379790940766,,,,608.8299999999999,44475200.0
2000-02-10,128.41,28858300.0,88.865444919321,173.71,4036200.0,104.80709534368071,410.46,6922800.0,76.2189257242951,24.299999999999997,5098300.0,57.95665628979902,0.0,2641200.0,92.02787456445994,,,,736.8799999999999,47556800.0
